RECID=R2017103970000003	阿SIR	āSIR
RECID=R2017103970000004	阿尔法男	&#x1FB9;’ěrfǎnán
RECID=R2017103970000005	阿尔法女孩	&#x1FB9;’ěrfǎnǚhái
RECID=R2017103970000007	挨蒙	áimēnɡ
RECID=R2017103970000008	挨宰	áizǎi
RECID=R2017103970000009	癌变	áibiàn
RECID=R2017103970000010	癌龄	áilínɡ
RECID=R2017103970000011	癌魔	áimó
RECID=R2017103970000012	癌痛	áitònɡ
RECID=R2017103970000013	癌友	áiyǒu
RECID=R2017103970000014	艾滋孤儿	àizīɡū’ér
RECID=R2017103970000015	爱钯一族	àibǎyīzú
RECID=R2017103970000016	爱邦族	àibānɡzú
RECID=R2017103970000017	爱车	àichē
RECID=R2017103970000018	爱宠	àichǒnɡ
RECID=R2017103970000019	爱娇	àijiāo
RECID=R2017103970000020	爱侣动物	àilǚdònɡwù
RECID=R2017103970000021	爱绿日	àilǜrì
RECID=R2017103970000022	爱美病	àiměibìnɡ
RECID=R2017103970000023	爱苗	àimiáo
RECID=R2017103970000024	爱普	àipǔ
RECID=R2017103970000025	爱情走私	àiqínɡzǒusī
RECID=R2017103970000026	爱券族	àiquànzú
RECID=R2017103970000027	爱羡	àixiàn
RECID=R2017103970000028	爱心斑马线	àixīnbānmǎxiàn
RECID=R2017103970000030	安保	ānbǎo
RECID=R2017103970000031	安怀医院	ānhuáiyīyuàn
RECID=R2017103970000032	安检	ānjiǎn
RECID=R2017103970000033	安静权	ānjìnɡquán
RECID=R2017103970000034	安静外交	ānjìnɡwàijiāo
RECID=R2017103970000035	安居房	ānjūfánɡ
RECID=R2017103970000036	安居工程	ānjūɡōnɡchénɡ
RECID=R2017103970000037	安康教室	ānkānɡjiàoshì
RECID=R2017103970000038	安可效应	ānkěxiàoyìnɡ
RECID=R2017103970000039	安乐死	ānlèsǐ
RECID=R2017103970000040	安全保障权	ānquánbǎozhànɡ-quán
RECID=R2017103970000041	安全填埋	ānquántiánmái
RECID=R2017103970000042	安胎假	āntāijià
RECID=R2017103970000043	安恬	āntián
RECID=R2017103970000044	安慰动物	ānwèidònɡwù
RECID=R2017103970000045	安慰赛	ānwèisài
RECID=R2017103970000046	岸线	ànxiàn
RECID=R2017103970000047	岸线资源	ànxiànzīyuán
RECID=R2017103970000048	按键	ànjiàn
RECID=R2017103970000049	按揭	ànjiē
RECID=R2017103970000050	按金	ànjīn
RECID=R2017103970000051	案底	àndǐ
RECID=R2017103970000052	案名	ànmínɡ
RECID=R2017103970000053	案值	ànzhí
RECID=R2017103970000054	暗盘交易	ànpánjiāoyì
RECID=R2017103970000055	暗示广告	ànshìɡuǎnɡɡào
RECID=R2017103970000056	暗箱操作	ànxiānɡcāozuò
RECID=R2017103970000057	黯哑	ànyǎ
RECID=R2017103970000059	傲赴	àofù
RECID=R2017103970000060	奥菲斯	àofēisī
RECID=R2017103970000061	奥赛	&#xC0;osài
RECID=R2017103970000062	奥衫	&#xC0;oshān
RECID=R2017103970000063	奥申委	&#xC0;oshēnwěi
RECID=R2017103970000064	奥斯卡奖	&#xC0;osīkǎjiǎnɡ
RECID=R2017103970000065	奥斯卡金像奖	&#xC0;osīkǎJīnxiànɡjiǎnɡ
RECID=R2017103970000066	奥委会	&#xC0;owěihuì
RECID=R2017103970000067	奥校	&#xC0;oxiào
RECID=R2017103970000068	奥星	&#xC0;oxīnɡ
RECID=R2017103970000069	奥运经济	&#xC0;oyùnjīnɡjì
RECID=R2017103970000070	奥运圣火	&#xC0;oyùnshènɡhuǒ
RECID=R2017103970000071	奥组委	&#xC0;ozǔwěi
RECID=R2017103970000072	澳胞	&#xC0;obāo
RECID=R2017103970000073	澳区	&#xC0;oqū
RECID=R2017103970000074	澳网	&#xC0;owǎnɡ
RECID=R2017103970000077	八卦	bāɡuà
RECID=R2017103970000078	八卦新闻	bāɡuàxīnwén
RECID=R2017103970000079	八卦杂志	bāɡuàzázhì
RECID=R2017103970000080	八纵八横	bāzònɡbāhénɡ
RECID=R2017103970000081	巴菲特税	Bāfēitèshuì
RECID=R2017103970000082	巴姐	bājiě
RECID=R2017103970000083	巴嫂	bāsǎo
RECID=R2017103970000084	巴士	bāshì
RECID=R2017103970000085	芭嫂	bāsǎo
RECID=R2017103970000086	芭坛	bātán
RECID=R2017103970000087	芭团	bātuán
RECID=R2017103970000088	吧	bā
RECID=R2017103970000089	吧凳	bādènɡ
RECID=R2017103970000090	吧费	bāfèi
RECID=R2017103970000091	吧街	bājiē
RECID=R2017103970000092	吧台	bātái
RECID=R2017103970000093	吧厅	bātīnɡ
RECID=R2017103970000094	吧椅	bāyǐ
RECID=R2017103970000095	吧蝇	bāyínɡ
RECID=R2017103970000096	吧友	bāyǒu
RECID=R2017103970000097	吧员	bāyuán
RECID=R2017103970000098	吧仔	bāzǎi
RECID=R2017103970000099	吧座	bāzuò
RECID=R2017103970000100	拔份	báfèn
RECID=R2017103970000101	把脉	bǎmài
RECID=R2017103970000102	罢唱	bàchànɡ
RECID=R2017103970000103	罢考	bàkǎo
RECID=R2017103970000104	罢赛	bàsài
